200925,522,SUB,11.0,2016-07-01,2019
181468,448,SUB,23.0,"","Jun 30, 2019"
246748,499,RES,29.0,2017-07-01,2020
242908,376,SUB,47.0,2017-11-23,2021
240860,560,RES,36.0,2017-12-01,2019
222172,297,RES,52.0,2019-01-22,2023
214492,337,ST,23.0,2018-07-09,2023
207580,168,SUB,8.0,2018-01-01,2022
202204,408,SUB,18.0,2019-02-02,2022
240859,560,RES,37.0,2017-07-01,2022
229083,607,LM,8.0,2017-01-28,2020
220123,503,SUB,19.0,2016-07-18,2021
216795,84,SUB,31.0,2019-01-08,2023
202715,438,SUB,11.0,2019-01-18,2019
245978,105,SUB,22.0,"",""
179930,683,CAM,8.0,2018-08-11,2019
244186,112,LW,82.0,2017-07-01,2021
171994,402,SUB,8.0,2016-12-23,2019
210389,559,SUB,11.0,"","Jun 30, 2019"
200917,350,SUB,25.0,2017-07-01,2020
244948,330,SUB,21.0,2018-07-23,2022
226260,99,LCB,15.0,2014-07-01,2020
219860,196,SUB,5.0,2019-01-30,2023
213204,326,RM,15.0,2017-07-19,2021
139475,23,SUB,14.0,2019-02-26,2019
237522,226,RES,33.0,2017-07-01,2019
237266,423,SUB,11.0,2018-12-12,2021
234706,172,LB,3.0,2018-07-06,2020
214482,60,RES,16.0,"","Jun 30, 2019"
199890,240,RWB,16.0,2019-02-01,2021
189905,173,SUB,27.0,2018-06-18,2020
229073,82,SUB,25.0,2015-05-06,2020
223441,16,RB,19.0,2018-07-01,2020
209873,355,RB,18.0,2012-07-01,2019
199121,203,LM,9.0,2013-08-09,2019
221648,35,RES,4.0,"","Jun 30, 2019"
244431,532,RCM,18.0,2018-07-01,2019
236751,365,RCB,19.0,2010-01-01,2020
226767,231,SUB,33.0,"","Jun 30, 2019"
221647,471,SUB,20.0,2019-01-04,2022
203215,268,GK,1.0,2016-07-01,2021
214222,634,GK,1.0,2014-06-05,2023
243661,247,SUB,5.0,2019-01-18,2022
232909,359,SUB,33.0,2019-01-01,2021
244684,615,SUB,95.0,2018-07-17,2021
224204,651,GK,1.0,2018-07-10,2020
222156,336,RB,41.0,"","Jun 30, 2019"
204492,236,LS,39.0,2018-01-01,2020
202444,452,SUB,8.0,"","Jun 30, 2019"
189387,304,SUB,12.0,2015-09-11,2021
183499,315,RCB,5.0,2017-01-24,2019
241867,125,RF,19.0,"","Jun 30, 2019"
236747,647,SUB,11.0,"",""
232907,359,RDM,7.0,2003-01-01,2021
228299,686,SUB,5.0,2018-08-11,2021
210123,479,SUB,7.0,2017-07-01,2022
192970,109,LCM,10.0,2014-05-03,2019
222410,231,SUB,13.0,2017-07-01,2019
237507,253,SUB,39.0,2017-01-29,2022
223427,5,RES,20.0,2017-07-01,2020
202179,665,SUB,10.0,2018-07-01,2019
171970,103,SUB,6.0,2018-07-01,2020
233410,341,RCB,5.0,2016-01-01,2021
209602,148,SUB,29.0,2018-08-08,2022
241089,251,RM,20.0,"","Jun 30, 2019"
231105,244,RES,16.0,2016-07-01,2023
219585,486,RCB,24.0,"","Jun 30, 2019"
165568,550,SUB,22.0,2018-08-31,2019
228544,251,CM,19.0,2016-01-20,2021
219840,500,RES,3.0,2018-08-20,2020
210368,37,GK,1.0,2018-07-31,2019
208832,292,RES,15.0,2018-07-10,2019
246719,340,LCB,4.0,2019-01-03,2021
236991,169,SUB,21.0,2016-12-20,2019
231103,138,LDM,26.0,2018-08-14,2021
224191,273,RB,17.0,2018-07-01,2021
223679,536,SUB,40.0,"","Jun 30, 2019"
221631,512,SUB,25.0,2017-01-08,2020
